missing_frac,seed,method,rmse,lambda,time,error
0.9,0,iso_grid_loo,1.0401204824447632,33.874481201171875,11.478747324086726,
0.9,0,iso_grid_renyi,1.0389825105667114,14.663454055786133,11.533311375416815,
0.9,0,iso_grid_is,1.0389825105667114,14.663454055786133,11.528507875278592,
0.9,0,iso_adaptive,1.0388743877410889,18.12082832550788,13.281594337895513,
0.9,1,proximal_cv,0.8752757906913757,6.353024959564209,38.82244680635631,
0.9,1,matlap_auto,1.0133183002471924,21.670928955078125,1.6656725825741887,
0.9,1,matlap_grid,1.0143665075302124,33.90418243408203,8.426706733182073,
0.9,1,lowrank_auto,1.016215205192566,499.55621337890625,0.0771328005939722,
0.9,1,lowrank_grid,1.0071020126342773,14.676311492919922,3.8763914378359914,
0.9,1,lowrank_cv,1.0071109533309937,14.676311370384676,14.393040238879621,
0.9,1,iso_auto,1.013566493988037,13.60416316986084,4.540124963968992,
0.9,1,iso_grid,1.014399766921997,33.90418243408203,11.462522879242897,
0.9,1,iso_cv,1.0134133100509644,14.676311370384676,42.04121022298932,
0.9,1,iso_grid_loo,1.014399766921997,33.90418243408203,11.52837940864265,
0.9,1,iso_grid_renyi,1.0133570432662964,14.676311492919922,11.631249188445508,
0.9,1,iso_grid_is,1.0133570432662964,14.676311492919922,11.513705851510167,
0.9,1,iso_adaptive,1.0132677555084229,18.13671769946992,13.308449625968933,
0.9,2,proximal_cv,0.87815260887146,6.335300445556641,40.16835518181324,
0.9,2,matlap_auto,1.0104289054870605,21.516035079956055,1.5605110544711351,
0.9,2,matlap_grid,1.0115681886672974,33.809593200683594,7.7402617409825325,
0.9,2,lowrank_auto,1.0135303735733032,499.5694274902344,0.05843550618737936,
0.9,2,lowrank_grid,1.0072840452194214,14.635366439819336,4.718213805928826,
0.9,2,lowrank_cv,1.006818413734436,33.80959420175489,13.599641056731343,
0.9,2,iso_auto,1.0106226205825806,13.563605308532715,4.520429454743862,
0.9,2,iso_grid,1.0115931034088135,33.809593200683594,11.320249669253826,
0.9,2,iso_cv,1.0103931427001953,14.635366230968692,41.75864383671433,
0.9,2,iso_grid_loo,1.0115931034088135,33.809593200683594,11.319478316232562,
0.9,2,iso_grid_renyi,1.010396122932434,14.635366439819336,11.301584455184639,
0.9,2,iso_grid_is,1.010396122932434,14.635366439819336,11.292599383741617,
0.9,2,iso_adaptive,1.010322093963623,18.086119325576526,12.910251650959253,
