embedding,cell_type,factor,mean_z_usage,n_cells
atlas SP,Hematopoietic stem cell,F1,-0.5723140239715576,2748
atlas SP,Hematopoietic stem cell,F2,-0.41123321652412415,2748
atlas SP,Hematopoietic stem cell,F3,-0.6116183996200562,2748
atlas SP,Hematopoietic stem cell,F4,-0.3105334937572479,2748
atlas SP,Hematopoietic stem cell,F5,-0.3407261073589325,2748
atlas SP,Hematopoietic stem cell,F6,-0.06088554486632347,2748
atlas SP,Hematopoietic stem cell,F7,-0.1863556057214737,2748
atlas SP,Hematopoietic stem cell,F8,-0.4335232079029083,2748
atlas SP,Hematopoietic stem cell,F9,4.599668502807617,2748
atlas SP,Hematopoietic stem cell,F10,-0.10923831164836884,2748
atlas SP,Hematopoietic stem cell,F11,-0.16393133997917175,2748
atlas SP,Hematopoietic stem cell,F12,0.09523192048072815,2748
atlas SP,Hematopoietic stem cell,F13,1.137052297592163,2748
atlas SP,Hematopoietic stem cell,F14,-0.31082683801651,2748
atlas SP,Hematopoietic stem cell,F15,-0.12025544792413712,2748
atlas SP,Hematopoietic stem cell,F16,-0.027119416743516922,2748
atlas SP,Hematopoietic stem cell,F17,-0.1718941032886505,2748
atlas SP,Hematopoietic stem cell,F18,-0.23752927780151367,2748
atlas SP,Hematopoietic stem cell,F19,-0.22913846373558044,2748
atlas SP,Hematopoietic stem cell,F20,-0.09215736389160156,2748
atlas SP,Other immune cell,F1,-0.5622837543487549,2562
atlas SP,Other immune cell,F2,-0.3893713653087616,2562
atlas SP,Other immune cell,F3,-0.5928968191146851,2562
atlas SP,Other immune cell,F4,-0.29039114713668823,2562
atlas SP,Other immune cell,F5,-0.32155871391296387,2562
atlas SP,Other immune cell,F6,0.3054996728897095,2562
atlas SP,Other immune cell,F7,-0.11854960769414902,2562
atlas SP,Other immune cell,F8,-0.32612037658691406,2562
atlas SP,Other immune cell,F9,0.4717441499233246,2562
atlas SP,Other immune cell,F10,-0.25050514936447144,2562
atlas SP,Other immune cell,F11,-0.0777331218123436,2562
atlas SP,Other immune cell,F12,0.1963474452495575,2562
atlas SP,Other immune cell,F13,0.8442665934562683,2562
atlas SP,Other immune cell,F14,-0.2444208860397339,2562
atlas SP,Other immune cell,F15,0.16481880843639374,2562
atlas SP,Other immune cell,F16,0.44184353947639465,2562
atlas SP,Other immune cell,F17,0.8916376829147339,2562
atlas SP,Other immune cell,F18,0.1907004565000534,2562
atlas SP,Other immune cell,F19,-0.03581914305686951,2562
atlas SP,Other immune cell,F20,0.008457649499177933,2562
atlas SP,Skeletal muscle cell,F1,-0.5664743781089783,2460
atlas SP,Skeletal muscle cell,F2,-0.4147859215736389,2460
atlas SP,Skeletal muscle cell,F3,-0.5927298069000244,2460
atlas SP,Skeletal muscle cell,F4,-0.2915932834148407,2460
atlas SP,Skeletal muscle cell,F5,-0.33021271228790283,2460
atlas SP,Skeletal muscle cell,F6,0.5136998891830444,2460
atlas SP,Skeletal muscle cell,F7,-0.06739885360002518,2460
atlas SP,Skeletal muscle cell,F8,-0.4201386272907257,2460
atlas SP,Skeletal muscle cell,F9,-0.04395390301942825,2460
atlas SP,Skeletal muscle cell,F10,2.0556554794311523,2460
atlas SP,Skeletal muscle cell,F11,-0.13296593725681305,2460
atlas SP,Skeletal muscle cell,F12,-0.07315406203269958,2460
atlas SP,Skeletal muscle cell,F13,-0.5318149328231812,2460
atlas SP,Skeletal muscle cell,F14,-0.2518883943557739,2460
atlas SP,Skeletal muscle cell,F15,0.14495709538459778,2460
atlas SP,Skeletal muscle cell,F16,0.0005499571561813354,2460
atlas SP,Skeletal muscle cell,F17,0.053618911653757095,2460
atlas SP,Skeletal muscle cell,F18,0.04896160215139389,2460
atlas SP,Skeletal muscle cell,F19,-0.15535864233970642,2460
atlas SP,Skeletal muscle cell,F20,0.0744459256529808,2460
atlas SP,Macrophage,F1,-0.5659874081611633,2129
atlas SP,Macrophage,F2,-0.4053567945957184,2129
atlas SP,Macrophage,F3,-0.6004504561424255,2129
atlas SP,Macrophage,F4,-0.29748693108558655,2129
atlas SP,Macrophage,F5,-0.3286764919757843,2129
atlas SP,Macrophage,F6,0.29511502385139465,2129
atlas SP,Macrophage,F7,-0.12664367258548737,2129
atlas SP,Macrophage,F8,-0.38295212388038635,2129
atlas SP,Macrophage,F9,0.4635145664215088,2129
atlas SP,Macrophage,F10,-0.3521130084991455,2129
atlas SP,Macrophage,F11,-0.007407006341964006,2129
atlas SP,Macrophage,F12,0.07499200105667114,2129
atlas SP,Macrophage,F13,0.9499064087867737,2129
atlas SP,Macrophage,F14,-0.2590835392475128,2129
atlas SP,Macrophage,F15,-0.019525036215782166,2129
atlas SP,Macrophage,F16,0.31060221791267395,2129
atlas SP,Macrophage,F17,0.4662115275859833,2129
atlas SP,Macrophage,F18,0.025306232273578644,2129
atlas SP,Macrophage,F19,-0.10421033203601837,2129
atlas SP,Macrophage,F20,0.06201069429516792,2129
atlas SP,Smooth muscle cell,F1,-0.5721354484558105,2034
atlas SP,Smooth muscle cell,F2,-0.42354121804237366,2034
atlas SP,Smooth muscle cell,F3,-0.6097608208656311,2034
atlas SP,Smooth muscle cell,F4,-0.3078451454639435,2034
atlas SP,Smooth muscle cell,F5,-0.33732450008392334,2034
atlas SP,Smooth muscle cell,F6,1.6461104154586792,2034
atlas SP,Smooth muscle cell,F7,-0.18432103097438812,2034
atlas SP,Smooth muscle cell,F8,-0.4364064037799835,2034
atlas SP,Smooth muscle cell,F9,-0.14814311265945435,2034
atlas SP,Smooth muscle cell,F10,0.3912912905216217,2034
atlas SP,Smooth muscle cell,F11,-0.14348244667053223,2034
atlas SP,Smooth muscle cell,F12,-0.1537676453590393,2034
atlas SP,Smooth muscle cell,F13,-0.6341962814331055,2034
atlas SP,Smooth muscle cell,F14,-0.3011847138404846,2034
atlas SP,Smooth muscle cell,F15,0.3972474932670593,2034
atlas SP,Smooth muscle cell,F16,-0.0791115090250969,2034
atlas SP,Smooth muscle cell,F17,-0.08321010321378708,2034
atlas SP,Smooth muscle cell,F18,-0.17583835124969482,2034
atlas SP,Smooth muscle cell,F19,-0.2473655790090561,2034
atlas SP,Smooth muscle cell,F20,-0.06956939399242401,2034
atlas SP,Pancreatic endocrine cell,F1,-0.543681800365448,1444
atlas SP,Pancreatic endocrine cell,F2,-0.3028501570224762,1444
atlas SP,Pancreatic endocrine cell,F3,-0.4961901605129242,1444
atlas SP,Pancreatic endocrine cell,F4,-0.251083642244339,1444
atlas SP,Pancreatic endocrine cell,F5,-0.27873098850250244,1444
atlas SP,Pancreatic endocrine cell,F6,-0.507411777973175,1444
atlas SP,Pancreatic endocrine cell,F7,-0.1933959573507309,1444
atlas SP,Pancreatic endocrine cell,F8,-0.25775694847106934,1444
